           0.00000      1.0000
          -0.05906      .9688
          -0.07391      .9609
          -0.08864      .9531
          -0.10313      .9453
          -0.16914      .9063
          -0.22445      .8594
          -0.24533      .8047
           0.05454      .5000
           0.17527      .2344
           0.17507      .2266
           0.16077      .1563
           0.12317      .0938
           0.10890      .0781
           0.10091      .0703
           0.09233      .0625
           0.00000      0.0000

